objectid,title,creator,date,description,subject,place,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,filename
Rufus001,"Rufus on January 10, 2014",Devin Becker,2014-01-10,"A photo taken at 9:52 PM of the dog Rufus on January 10, 2014, consisting of 2263390 bytes.",puppy;carpet;old house,,,,Devin Becker's Phone Photos,IMG_1179,image,image/jpeg,eng,Copyright Devin Becker,These are my photos of my dog. I own the copyright but you can probably use them if you ask.,image,/objects/IMG_1179.jpg,/objects/small/img_1179_sm.jpg,/objects/thumbs/img_1179_th.jpg,,,IMG_1179.jpg
Rufus002,"Rufus on February 22, 2014",Devin Becker,2014-02-22,"A photo taken at 9:51 PM of the dog Rufus on February 22, 2014, consisting of 1787994 bytes.",puppy;car;leash,,,,,IMG_1257,image,image/jpeg,eng,Copyright Devin Becker,These are my photos of my dog. I own the copyright but you can probably use them if you ask.,image,/objects/IMG_1257.jpg,/objects/small/img_1257_sm.jpg,/objects/thumbs/img_1257_th.jpg,,,IMG_1257.jpg
Rufus003,"Rufus on March 2, 2014",Devin Becker,2014-03-02,"A photo taken at 11:32 PM of the dog Rufus on March 2, 2014, consisting of 1392347 bytes.",puppy;ball'stoic,,,,,IMG_1275,image,image/jpeg,eng,Copyright Devin Becker,These are my photos of my dog. I own the copyright but you can probably use them if you ask.,image,/objects/IMG_1275.jpg,/objects/small/img_1275_sm.jpg,/objects/thumbs/img_1275_th.jpg,,,IMG_1275.jpg
Rufus004,"Rufus on March 14, 2014",Devin Becker,2014-03-14,"A photo taken at 3:45 PM of the dog Rufus on March 14, 2014, consisting of 704983 bytes.",puppy;devin;ears;old house,,,,,IMG_1294,image,image/jpeg,eng,Copyright Devin Becker,These are my photos of my dog. I own the copyright but you can probably use them if you ask.,image,/objects/IMG_1294.jpg,/objects/small/img_1294_sm.jpg,/objects/thumbs/img_1294_th.jpg,,,IMG_1294.jpg
Rufus005,"Rufus on April 4, 2014",Devin Becker,2014-04-04,"A photo taken at 3:51 PM of the dog Rufus on April 4, 2014, consisting of 794641 bytes.",bed;fire;old house;ear;gaze;laying down,,,,,IMG_1334,image,image/jpeg,eng,Copyright Devin Becker,These are my photos of my dog. I own the copyright but you can probably use them if you ask.,image,/objects/IMG_1334.jpg,/objects/small/img_1334_sm.jpg,/objects/thumbs/img_1334_th.jpg,,,IMG_1334.jpg
Rufus006,"Rufus on February 27, 2015",Devin Becker,2015-02-27,"A photo taken at 3:49 PM of the dog Rufus on February 27, 2015, consisting of 3092290 bytes.",collar;fields;stoic;gaze,,,,,IMG_1831,image,image/jpeg,eng,Copyright Devin Becker,These are my photos of my dog. I own the copyright but you can probably use them if you ask.,image,/objects/IMG_1831.jpg,/objects/small/img_1831_sm.jpg,/objects/thumbs/img_1831_th.jpg,,,IMG_1831.jpg
Rufus007,"Rufus on April 9, 2015",Devin Becker,2015-04-09,"A photo taken at 9:31 PM of the dog Rufus on April 9, 2015, consisting of 2296637 bytes.",agnes;laying down;gaze;baby,,,,,IMG_1885,image,image/jpeg,eng,Copyright Devin Becker,These are my photos of my dog. I own the copyright but you can probably use them if you ask.,image,/objects/IMG_1885.jpg,/objects/small/img_1885_sm.jpg,/objects/thumbs/img_1885_th.jpg,,,IMG_1885.jpg
Rufus008,"Rufus on April 13, 2017",Devin Becker,2017-04-13,"A photo taken at 1:40 AM of the dog Rufus on April 13, 2017, consisting of 5440993 bytes.",kristin;agnes;table;fields;,,,,,IMG_20170412_184050,image,image/jpeg,eng,Copyright Devin Becker,These are my photos of my dog. I own the copyright but you can probably use them if you ask.,image,/objects/IMG_20170412_184050.jpg,/objects/small/img_20170412_184050_sm.jpg,/objects/thumbs/img_20170412_184050_th.jpg,,,IMG_20170412_184050.jpg
Rufus009,"Rufus on June 24, 2017",Devin Becker,2017-06-24,"A photo taken at 2:43 AM of the dog Rufus on June 24, 2017, consisting of 3530726 bytes.",collier;gaze;collar;,,,,,IMG_20170623_194326,image,image/jpeg,eng,Copyright Devin Becker,These are my photos of my dog. I own the copyright but you can probably use them if you ask.,image,/objects/IMG_20170623_194326.jpg,/objects/small/img_20170623_194326_sm.jpg,/objects/thumbs/img_20170623_194326_th.jpg,,,IMG_20170623_194326.jpg
Rufus010,"Rufus on August 20, 2017",Devin Becker,2017-08-20,"A photo taken at 1:45 AM of the dog Rufus on August 20, 2017, consisting of 4640919 bytes.",agnes;laying down;gaze;carpet;sad,,,,,IMG_20170819_184550,image,image/jpeg,eng,Copyright Devin Becker,These are my photos of my dog. I own the copyright but you can probably use them if you ask.,image,/objects/IMG_20170819_184550.jpg,/objects/small/img_20170819_184550_sm.jpg,/objects/thumbs/img_20170819_184550_th.jpg,,,IMG_20170819_184550.jpg
Rufus011,"Rufus on October 14, 2017",Devin Becker,2017-10-14,"A photo taken at 7:42 PM of the dog Rufus on October 14, 2017, consisting of 4793672 bytes.",stoic;fields;clouds,,,,,IMG_20171014_124238,image,image/jpeg,eng,Copyright Devin Becker,These are my photos of my dog. I own the copyright but you can probably use them if you ask.,image,/objects/IMG_20171014_124238.jpg,/objects/small/img_20171014_124238_sm.jpg,/objects/thumbs/img_20171014_124238_th.jpg,,,IMG_20171014_124238.jpg
